Soil Report,,
,,
,,
,,
State,Description,Area (Hectares)
Andaman & Nicobar,DATA NOT AVAILABLE,757785.215
Andhra Pradesh,DATA NOT AVAILABLE,30.921
Arunachal Pradesh,DATA NOT AVAILABLE,7924451.128
Assam,DATA NOT AVAILABLE,14810.36
Bihar,DATA NOT AVAILABLE,280.395
Chhattisgarh,DATA NOT AVAILABLE,0.607
Daman & Diu,DATA NOT AVAILABLE,911.885
Dadara & Nagar Havelli,DATA NOT AVAILABLE,44971.369
Goa,DATA NOT AVAILABLE,356321.734
Gujarat,DATA NOT AVAILABLE,264837.182
Himachal Pradesh,DATA NOT AVAILABLE,3.858
Jharkhand,DATA NOT AVAILABLE,0.279
Jammu & Kashmir,DATA NOT AVAILABLE,313.434
Karnataka,DATA NOT AVAILABLE,129.24
Kerala,DATA NOT AVAILABLE,223.854
Lakshadweep,DATA NOT AVAILABLE,66981.245
Ladakh,DATA NOT AVAILABLE,344.789
Maharashtra,DATA NOT AVAILABLE,44247.586
Meghalaya,DATA NOT AVAILABLE,1097378.678
Manipur,DATA NOT AVAILABLE,928606.648
Madhya Pradesh,DATA NOT AVAILABLE,0.279
Mizoram,DATA NOT AVAILABLE,853747.73
Nagaland,DATA NOT AVAILABLE,80708.744
Odisha,DATA NOT AVAILABLE,13.493
Punjab,DATA NOT AVAILABLE,248.959
Pondicherry,DATA NOT AVAILABLE,22955.157
Rajasthan,DATA NOT AVAILABLE,116.148
Sikkim,DATA NOT AVAILABLE,688642.081
TamilNadu,DATA NOT AVAILABLE,21681.011
Tripura,DATA NOT AVAILABLE,835146.636
Uttarakhand,DATA NOT AVAILABLE,229.655
Uttar Pradesh,DATA NOT AVAILABLE,227.987
West Bengal,DATA NOT AVAILABLE,85327.481
Andhra Pradesh,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",1089273.24
Arunachal Pradesh,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",9025.536
Assam,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",708341.125
Bihar,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",8293713.27
Chhattisgarh,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",1268465
Chandigarh,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",11535.91
Daman & Diu,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",2418.966
Delhi,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",145554.612
Dadara & Nagar Havelli,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",1101.969
Goa,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",269.633
Gujarat,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",6305039.561
Himachal Pradesh,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",457204.17
Haryana,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",1287012.414
Jharkhand,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",3831489.436
Jammu & Kashmir,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",3645630.091
Karnataka,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",626993.192
Kerala,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",5904.006
Ladakh,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",131540.533
Maharashtra,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",808570.85
Meghalaya,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",11.683
Manipur,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",949.32
Madhya Pradesh,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",12797911.52
Mizoram,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",800.173
Nagaland,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",10087.434
Odisha,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",781.972
Punjab,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",1881.119
Pondicherry,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",882.223
Rajasthan,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",8371446.199
Sikkim,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",0.005
TamilNadu,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",7103141.018
Tripura,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",226.231
Telangana,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",65178.916
Uttarakhand,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",1863491.124
Uttar Pradesh,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",21330850.5
West Bengal,"Deep,Moderately deep, slightly/moderately shallow (depth>50cm)",936373.281
Andhra Pradesh,Extremely shallow (< 10cm),83667.358
Arunachal Pradesh,Extremely shallow (< 10cm),1850.3
