Soil Texture Report,,
,,
,,
,,
State,Description,Area (Hectares)
Andaman & Nicobar,DATA NOT AVAILABLE,757785.215
Andhra Pradesh,DATA NOT AVAILABLE,36.338
Arunachal Pradesh,DATA NOT AVAILABLE,7924451.938
Assam,DATA NOT AVAILABLE,14815.86
Bihar,DATA NOT AVAILABLE,278.38
Daman & Diu,DATA NOT AVAILABLE,911.885
Dadara & Nagar Havelli,DATA NOT AVAILABLE,44971.27
Goa,DATA NOT AVAILABLE,356322.01
Gujarat,DATA NOT AVAILABLE,264840.409
Himachal Pradesh,DATA NOT AVAILABLE,3.699
Jharkhand,DATA NOT AVAILABLE,0.279
Jammu & Kashmir,DATA NOT AVAILABLE,312.986
Karnataka,DATA NOT AVAILABLE,129.24
Kerala,DATA NOT AVAILABLE,228.841
Lakshadweep,DATA NOT AVAILABLE,66981.245
Ladakh,DATA NOT AVAILABLE,350.131
Maharashtra,DATA NOT AVAILABLE,44254.076
Meghalaya,DATA NOT AVAILABLE,1097378.678
Manipur,DATA NOT AVAILABLE,928606.668
Madhya Pradesh,DATA NOT AVAILABLE,2.736
Mizoram,DATA NOT AVAILABLE,853747.132
Nagaland,DATA NOT AVAILABLE,80708.744
Odisha,DATA NOT AVAILABLE,14.967
Punjab,DATA NOT AVAILABLE,242.818
Pondicherry,DATA NOT AVAILABLE,22954.827
Rajasthan,DATA NOT AVAILABLE,120.591
Sikkim,DATA NOT AVAILABLE,688642.081
TamilNadu,DATA NOT AVAILABLE,21685.906
Tripura,DATA NOT AVAILABLE,835146.636
Telangana,DATA NOT AVAILABLE,2.893
Uttarakhand,DATA NOT AVAILABLE,229.871
Uttar Pradesh,DATA NOT AVAILABLE,227.081
West Bengal,DATA NOT AVAILABLE,85326.582
Andhra Pradesh,"Clay,loamy clay,sandy clay, silty clay, sandy clay",1217483.611
Arunachal Pradesh,"Clay,loamy clay,sandy clay, silty clay, sandy clay",6540.199
Assam,"Clay,loamy clay,sandy clay, silty clay, sandy clay",521213.462
Bihar,"Clay,loamy clay,sandy clay, silty clay, sandy clay",6804359.607
Chhattisgarh,"Clay,loamy clay,sandy clay, silty clay, sandy clay",263500.359
Chandigarh,"Clay,loamy clay,sandy clay, silty clay, sandy clay",8.457
Daman & Diu,"Clay,loamy clay,sandy clay, silty clay, sandy clay",2418.966
Delhi,"Clay,loamy clay,sandy clay, silty clay, sandy clay",11.627
Dadara & Nagar Havelli,"Clay,loamy clay,sandy clay, silty clay, sandy clay",1312.275
Goa,"Clay,loamy clay,sandy clay, silty clay, sandy clay",79.422
Gujarat,"Clay,loamy clay,sandy clay, silty clay, sandy clay",6131952.129
Himachal Pradesh,"Clay,loamy clay,sandy clay, silty clay, sandy clay",371432.801
Haryana,"Clay,loamy clay,sandy clay, silty clay, sandy clay",694032.224
Jharkhand,"Clay,loamy clay,sandy clay, silty clay, sandy clay",3493657.433
Jammu & Kashmir,"Clay,loamy clay,sandy clay, silty clay, sandy clay",226500.862
